274942,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
274900,5,25,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
274852,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
274839,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
274805,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
274699,5,23,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
274695,5,25,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
274693,5,24,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
274682,5,24,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
273178,4,25,No Variant,florrat2,Libster,NoMercy,Zamiel
273118,4,25,No Variant,florrat2,Libster,NoMercy,Zamiel
273052,5,24,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
272963,5,0,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
272891,5,25,No Variant,florrat2,Libster,NoMercy,sjdrodge,Zamiel
271556,4,24,Up or Down & Rainbow (5 Suits),Bonja97,joelwool,NoMercy,TheDaniMan
271547,4,23,Up or Down & Rainbow (5 Suits),Bonja97,joelwool,NoMercy,TheDaniMan
271537,3,0,Throw It in a Hole & Rainbow (6 Suits),joelwool,NoMercy,TheDaniMan
269057,3,0,Omni-Fives & Omni (3 Suits),DMoney,kimbifille,NoMercy
268889,5,29,Rainbow & White (6 Suits),efaust,forgotmyacct,NoMercy,paulcd2000,sjdrodge
268879,5,0,Rainbow & White (6 Suits),efaust,forgotmyacct,NoMercy,paulcd2000,sjdrodge
268877,5,0,Rainbow & White (6 Suits),efaust,forgotmyacct,NoMercy,paulcd2000,sjdrodge
259339,3,0,White & Omni (4 Suits),Kyle,NoMercy,rs1
259322,3,0,White & Omni (4 Suits),NoMercy,rs1,sjdrodge
258305,5,30,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258303,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258301,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258300,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258299,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258296,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258294,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258293,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258292,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258291,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258288,5,29,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258287,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258283,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258280,5,30,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258274,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258273,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258270,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258269,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258268,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258265,5,29,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258259,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258256,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258254,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258251,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258248,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
258245,5,0,White Reversed (6 Suits),florrat2,Libster,NoMercy,padi,Zamiel
