316675,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316671,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316657,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316653,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316644,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316080,2,30,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316072,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316069,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316062,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316061,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316053,2,28,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316040,2,30,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316013,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
316009,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
313075,2,29,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
313062,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
313051,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
313040,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
313027,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
313022,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
312936,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
312914,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
311715,4,30,White Reversed (6 Suits),Darth_Calculus,menotyou,philipxjm,qwertyelmer
311680,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
311340,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
311327,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
311322,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
311317,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
311306,2,0,White Reversed (6 Suits),Darth_Calculus,qwertyelmer
308792,5,25,No Variant,Darth_Calculus,kjin,menotyou,philipxjm,qwertyelmer
308756,5,0,No Variant,Darth_Calculus,kjin,menotyou,philipxjm,qwertyelmer
299565,4,30,Rainbow (6 Suits),Darth_Calculus,menotyou,philipxjm,qwertyelmer
299512,4,0,Rainbow (6 Suits),Darth_Calculus,menotyou,philipxjm,qwertyelmer
299494,4,0,Rainbow (6 Suits),Darth_Calculus,menotyou,philipxjm,qwertyelmer
299488,4,0,Rainbow (6 Suits),Darth_Calculus,kjin,philipxjm,qwertyelmer
299486,4,0,Rainbow (6 Suits),Darth_Calculus,kjin,philipxjm,qwertyelmer
299484,4,0,Rainbow (6 Suits),Darth_Calculus,kjin,philipxjm,qwertyelmer
299480,4,0,Rainbow (6 Suits),Darth_Calculus,kjin,philipxjm,qwertyelmer
299462,4,0,Rainbow (6 Suits),Darth_Calculus,kjin,philipxjm,qwertyelmer
297128,3,25,No Variant,menotyou,philipxjm,qwertyelmer
297035,3,25,No Variant,menotyou,philipxjm,qwertyelmer
296963,3,23,No Variant,menotyou,philipxjm,qwertyelmer
296477,3,22,No Variant,menotyou,philipxjm,qwertyelmer
296446,3,24,No Variant,menotyou,philipxjm,qwertyelmer
295558,3,24,No Variant,menotyou,philipxjm,qwertyelmer
295497,3,0,No Variant,menotyou,philipxjm,qwertyelmer
295455,3,25,No Variant,menotyou,philipxjm,qwertyelmer
293076,5,23,No Variant,Darth_Calculus,hambrenson,philipxjm,qwertyelmer,veganpecan
293012,4,22,No Variant,Darth_Calculus,hambrenson,qwertyelmer,veganpecan
292978,4,0,No Variant,Darth_Calculus,hambrenson,qwertyelmer,veganpecan
291334,3,0,No Variant,menotyou,philipxjm,qwertyelmer
291300,3,0,No Variant,menotyou,philipxjm,qwertyelmer
289625,3,25,No Variant,menotyou,philipxjm,qwertyelmer
289560,3,25,No Variant,menotyou,philipxjm,qwertyelmer
289519,3,0,No Variant,menotyou,philipxjm,qwertyelmer
289495,3,0,No Variant,menotyou,philipxjm,qwertyelmer
289476,3,0,No Variant,menotyou,philipxjm,qwertyelmer
287778,5,24,No Variant,Darth_Calculus,hambrenson,kjin,qwertyelmer,veganpecan
287740,5,0,No Variant,Darth_Calculus,hambrenson,kjin,qwertyelmer,veganpecan
286256,3,25,No Variant,menotyou,philipxjm,qwertyelmer
286249,3,0,No Variant,menotyou,philipxjm,qwertyelmer
286247,3,0,No Variant,menotyou,philipxjm,qwertyelmer
286235,3,23,No Variant,menotyou,philipxjm,qwertyelmer
286191,3,0,No Variant,menotyou,philipxjm,qwertyelmer
285171,5,22,No Variant,Darth_Calculus,kjin,menotyou,philipxjm,qwertyelmer
284976,5,0,No Variant,Darth_Calculus,kjin,menotyou,philipxjm,qwertyelmer
284104,5,0,No Variant,Darth_Calculus,kjin,menotyou,philipxjm,qwertyelmer
279179,4,24,No Variant,Darth_Calculus,kjin,menotyou,qwertyelmer
279147,4,0,No Variant,Darth_Calculus,kjin,menotyou,qwertyelmer
279117,4,0,No Variant,Darth_Calculus,kjin,menotyou,qwertyelmer
279080,3,0,White (6 Suits),Darth_Calculus,menotyou,qwertyelmer
276967,3,30,White (6 Suits),Darth_Calculus,kjin,qwertyelmer
276941,3,0,White (6 Suits),Darth_Calculus,kjin,qwertyelmer
276927,3,0,White (6 Suits),Darth_Calculus,kjin,qwertyelmer
275638,3,0,No Variant,Darth_Calculus,kjin,qwertyelmer
