461421,3,0,No Variant,eliclax,padi,sjdrodge
461343,4,25,No Variant,efaust,fuckthiswebsite,sjdrodge,ThyisMyffins
461332,4,25,No Variant,efaust,fuckthiswebsite,sjdrodge,ThyisMyffins
459921,5,25,No Variant,CptAggro,efaust,kemurphy,micerang,sjdrodge
459910,3,19,4 Suits,CptAggro,efaust,sjdrodge
457437,5,25,No Variant,CptAggro,efaust,fuckthiswebsite,paulcd2000,sjdrodge
457432,5,0,No Variant,CptAggro,efaust,fuckthiswebsite,paulcd2000,sjdrodge
456284,3,25,No Variant,CptAggro,efaust,sjdrodge
456259,3,25,No Variant,CptAggro,efaust,sjdrodge
456212,3,25,No Variant,CptAggro,efaust,sjdrodge
456205,3,0,No Variant,CptAggro,efaust,sjdrodge
456198,3,25,No Variant,CptAggro,efaust,sjdrodge
455121,4,25,No Variant,CptAggro,efaust,paulcd2000,sjdrodge
455117,4,0,No Variant,CptAggro,efaust,paulcd2000,sjdrodge
454996,4,23,No Variant,CptAggro,kimbifille,paulcd2000,sjdrodge
454083,4,23,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
454077,3,0,No Variant,CptAggro,efaust,sjdrodge
454073,3,0,No Variant,CptAggro,efaust,sjdrodge
454060,3,0,No Variant,CptAggro,efaust,sjdrodge
454054,3,24,No Variant,CptAggro,efaust,sjdrodge
452991,4,24,No Variant,CptAggro,fuckthiswebsite,paulcd2000,sjdrodge
452978,4,0,No Variant,CptAggro,fuckthiswebsite,paulcd2000,sjdrodge
452967,4,25,No Variant,CptAggro,fuckthiswebsite,paulcd2000,sjdrodge
451878,4,0,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
451872,4,0,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
451867,4,0,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
451862,4,0,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
451857,4,25,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
451853,4,0,No Variant,CptAggro,efaust,fuckthiswebsite,sjdrodge
448584,5,22,No Variant,bigbadjohn,CptAggro,efaust,lenv11,sjdrodge
448572,5,25,No Variant,CptAggro,efaust,fuckthiswebsite,lenv11,sjdrodge
448562,5,0,No Variant,CptAggro,efaust,fuckthiswebsite,lenv11,sjdrodge
448552,5,0,No Variant,CptAggro,efaust,fuckthiswebsite,lenv11,sjdrodge
444270,3,20,4 Suits,CptAggro,efaust,sjdrodge
444266,3,0,4 Suits,CptAggro,efaust,sjdrodge
444263,3,20,4 Suits,CptAggro,efaust,sjdrodge
444258,3,25,No Variant,CptAggro,efaust,sjdrodge
444251,3,0,No Variant,CptAggro,efaust,sjdrodge
444242,3,25,No Variant,CptAggro,efaust,sjdrodge
444234,3,0,No Variant,CptAggro,efaust,sjdrodge
441924,3,25,No Variant,efaust,fuckthiswebsite,sjdrodge
441914,3,0,Very Ambiguous (6 Suits),efaust,fuckthiswebsite,sjdrodge
441905,3,0,Ambiguous Mix,efaust,fuckthiswebsite,sjdrodge
441901,3,0,Ambiguous Mix,efaust,fuckthiswebsite,sjdrodge
441897,3,20,Throw It in a Hole (4 Suits),efaust,fuckthiswebsite,sjdrodge
441892,3,19,Throw It in a Hole (4 Suits),efaust,fuckthiswebsite,sjdrodge
441836,3,25,No Variant,CptAggro,efaust,sjdrodge
441832,3,18,Throw It in a Hole (4 Suits),CptAggro,efaust,sjdrodge
440724,4,25,No Variant,CptAggro,efaust,lenv11,sjdrodge
439777,3,24,No Variant,bigbadjohn,CptAggro,sjdrodge
438035,5,0,Rainbow (6 Suits),CptAggro,efaust,kemurphy,micerang,sjdrodge
438027,5,0,Rainbow (6 Suits),CptAggro,efaust,kemurphy,micerang,sjdrodge
438025,5,0,Rainbow (6 Suits),CptAggro,efaust,kemurphy,micerang,sjdrodge
438024,5,0,Rainbow (6 Suits),CptAggro,efaust,kemurphy,micerang,sjdrodge
437971,5,0,No Variant,CptAggro,efaust,micerang,paulcd2000,sjdrodge
437967,5,0,No Variant,CptAggro,efaust,micerang,paulcd2000,sjdrodge
436757,4,25,No Variant,CptAggro,efaust,kemurphy,sjdrodge
436747,4,25,No Variant,CptAggro,efaust,kemurphy,sjdrodge
436739,4,23,No Variant,CptAggro,efaust,kemurphy,sjdrodge
436734,4,0,No Variant,CptAggro,efaust,kemurphy,sjdrodge
436166,2,0,Dark Rainbow (5 Suits),CptAggro,sjdrodge
435647,4,25,No Variant,CptAggro,efaust,micerang,sjdrodge
435625,4,22,No Variant,CptAggro,micerang,paulcd2000,sjdrodge
435614,4,25,No Variant,CptAggro,efaust,paulcd2000,sjdrodge
435593,4,23,No Variant,CptAggro,efaust,micerang,sjdrodge
435583,3,24,No Variant,bigbadjohn,CptAggro,sjdrodge
434355,3,25,No Variant,CptAggro,efaust,sjdrodge
434345,3,24,No Variant,CptAggro,efaust,sjdrodge
434336,3,25,No Variant,CptAggro,efaust,sjdrodge
434328,3,0,No Variant,CptAggro,efaust,sjdrodge
434320,3,25,No Variant,CptAggro,efaust,sjdrodge
